tempStream expectedOffset: 217989, readIncrement: 1025
tempStream expectedOffset: 219014, readIncrement: 1025
tempStream expectedOffset: 219360, readIncrement: 1025
tempStream expectedOffset: 220385, readIncrement: 1025
tempStream expectedOffset: 220731, readIncrement: 1025
tempStream expectedOffset: 221756, readIncrement: 1025
tempStream expectedOffset: 222102, readIncrement: 1025
tempStream expectedOffset: 223127, readIncrement: 1025
tempStream expectedOffset: 223473, readIncrement: 1025
tempStream expectedOffset: 224498, readIncrement: 1025
tempStream expectedOffset: 224844, readIncrement: 1025
tempStream expectedOffset: 225869, readIncrement: 1025
tempStream expectedOffset: 226215, readIncrement: 1025
tempStream expectedOffset: 227240, readIncrement: 1025
tempStream expectedOffset: 227586, readIncrement: 1025
tempStream expectedOffset: 228611, readIncrement: 1025
tempStream expectedOffset: 228957, readIncrement: 1025
tempStream expectedOffset: 229982, readIncrement: 1025
tempStream expectedOffset: 230328, readIncrement: 1025
tempStream expectedOffset: 231353, readIncrement: 1025
tempStream expectedOffset: 231699, readIncrement: 1025
tempStream expectedOffset: 232724, readIncrement: 1025
tempStream expectedOffset: 233070, readIncrement: 1025
tempStream expectedOffset: 234095, readIncrement: 1025
tempStream expectedOffset: 234441, readIncrement: 1025
tempStream expectedOffset: 235466, readIncrement: 1025
tempStream expectedOffset: 235812, readIncrement: 1025
tempStream expectedOffset: 236837, readIncrement: 1025
tempStream expectedOffset: 237183, readIncrement: 1025
tempStream expectedOffset: 238208, readIncrement: 1025
tempStream expectedOffset: 238554, readIncrement: 1025
tempStream expectedOffset: 239579, readIncrement: 1025
tempStream expectedOffset: 239925, readIncrement: 1025
tempStream expectedOffset: 240950, readIncrement: 1025
tempStream expectedOffset: 241296, readIncrement: 1025
tempStream expectedOffset: 242321, readIncrement: 1025
tempStream expectedOffset: 242667, readIncrement: 1025
tempStream expectedOffset: 243692, readIncrement: 1025
tempStream expectedOffset: 244038, readIncrement: 1025
tempStream expectedOffset: 245063, readIncrement: 1025
tempStream expectedOffset: 245409, readIncrement: 1025
tempStream expectedOffset: 246434, readIncrement: 1025
tempStream expectedOffset: 246780, readIncrement: 1025
tempStream expectedOffset: 247805, readIncrement: 1025
tempStream expectedOffset: 248151, readIncrement: 1025
tempStream expectedOffset: 249176, readIncrement: 1025
tempStream expectedOffset: 249522, readIncrement: 1025
tempStream expectedOffset: 250547, readIncrement: 1025
tempStream expectedOffset: 250893, readIncrement: 1025
tempStream expectedOffset: 251918, readIncrement: 1025
tempStream expectedOffset: 252264, readIncrement: 1025
tempStream expectedOffset: 253289, readIncrement: 1025
tempStream expectedOffset: 253635, readIncrement: 1025
tempStream expectedOffset: 254660, readIncrement: 1025
tempStream expectedOffset: 255006, readIncrement: 1025
tempStream expectedOffset: 256031, readIncrement: 1025
tempStream expectedOffset: 256377, readIncrement: 1025
tempStream expectedOffset: 257402, readIncrement: 1025
tempStream expectedOffset: 257748, readIncrement: 1025
tempStream expectedOffset: 258773, readIncrement: 1025
tempStream expectedOffset: 259119, readIncrement: 1025
tempStream expectedOffset: 260144, readIncrement: 1025
tempStream expectedOffset: 260490, readIncrement: 1025
tempStream expectedOffset: 261515, readIncrement: 1025
tempStream expectedOffset: 261861, readIncrement: 1025
tempStream expectedOffset: 262886, readIncrement: 1025
tempStream expectedOffset: 263232, readIncrement: 1025
tempStream expectedOffset: 264257, readIncrement: 1025
tempStream expectedOffset: 264603, readIncrement: 1025
tempStream expectedOffset: 265628, readIncrement: 1025
tempStream expectedOffset: 265974, readIncrement: 1025
tempStream expectedOffset: 266999, readIncrement: 1025
tempStream expectedOffset: 267345, readIncrement: 1025
tempStream expectedOffset: 268370, readIncrement: 1025
tempStream expectedOffset: 268716, readIncrement: 1025
tempStream expectedOffset: 269741, readIncrement: 1025
tempStream expectedOffset: 270087, readIncrement: 1025
tempStream expectedOffset: 271112, readIncrement: 1025
tempStream expectedOffset: 271458, readIncrement: 1025
tempStream expectedOffset: 272483, readIncrement: 1025
tempStream expectedOffset: 272829, readIncrement: 1025
tempStream expectedOffset: 273854, readIncrement: 1025
tempStream expectedOffset: 274200, readIncrement: 1025
tempStream expectedOffset: 275225, readIncrement: 1025
tempStream expectedOffset: 275571, readIncrement: 1025
tempStream expectedOffset: 276596, readIncrement: 1025
tempStream expectedOffset: 276942, readIncrement: 1025
tempStream expectedOffset: 277967, readIncrement: 1025
tempStream expectedOffset: 278313, readIncrement: 1025
tempStream expectedOffset: 279338, readIncrement: 1025
tempStream expectedOffset: 279684, readIncrement: 1025
tempStream expectedOffset: 280709, readIncrement: 1025
tempStream expectedOffset: 281055, readIncrement: 1025
tempStream expectedOffset: 282080, readIncrement: 1025
tempStream expectedOffset: 282426, readIncrement: 1025
tempStream expectedOffset: 283451, readIncrement: 1025
tempStream expectedOffset: 283797, readIncrement: 1025
tempStream expectedOffset: 284822, readIncrement: 1025
tempStream expectedOffset: 285168, readIncrement: 1025
tempStream expectedOffset: 286193, readIncrement: 1025
tempStream expectedOffset: 286539, readIncrement: 1025
tempStream expectedOffset: 287564, readIncrement: 1025
tempStream expectedOffset: 287910, readIncrement: 1025
tempStream expectedOffset: 288935, readIncrement: 1025
tempStream expectedOffset: 289281, readIncrement: 1025
tempStream expectedOffset: 290306, readIncrement: 1025
tempStream expectedOffset: 290652, readIncrement: 1025
