tempStream expectedOffset: 300249, readIncrement: 1024
tempStream expectedOffset: 301273, readIncrement: 1024
tempStream expectedOffset: 301620, readIncrement: 1024
tempStream expectedOffset: 302644, readIncrement: 1024
tempStream expectedOffset: 302991, readIncrement: 1024
tempStream expectedOffset: 304015, readIncrement: 1024
tempStream expectedOffset: 304362, readIncrement: 1024
tempStream expectedOffset: 305386, readIncrement: 1024
tempStream expectedOffset: 305733, readIncrement: 1024
tempStream expectedOffset: 306757, readIncrement: 1024
tempStream expectedOffset: 307104, readIncrement: 1024
tempStream expectedOffset: 308128, readIncrement: 1024
tempStream expectedOffset: 308475, readIncrement: 1024
tempStream expectedOffset: 309499, readIncrement: 1024
tempStream expectedOffset: 309846, readIncrement: 1024
tempStream expectedOffset: 310870, readIncrement: 1024
tempStream expectedOffset: 311217, readIncrement: 1024
tempStream expectedOffset: 312241, readIncrement: 1024
tempStream expectedOffset: 312588, readIncrement: 1024
tempStream expectedOffset: 313612, readIncrement: 1024
tempStream expectedOffset: 313959, readIncrement: 1024
tempStream expectedOffset: 314983, readIncrement: 1024
tempStream expectedOffset: 315330, readIncrement: 1024
tempStream expectedOffset: 316354, readIncrement: 1024
tempStream expectedOffset: 316701, readIncrement: 1024
tempStream expectedOffset: 317725, readIncrement: 1024
tempStream expectedOffset: 318072, readIncrement: 1024
tempStream expectedOffset: 319096, readIncrement: 1024
tempStream expectedOffset: 319443, readIncrement: 1024
tempStream expectedOffset: 320467, readIncrement: 1024
tempStream expectedOffset: 320814, readIncrement: 1024
tempStream expectedOffset: 321838, readIncrement: 1024
tempStream expectedOffset: 322185, readIncrement: 1024
tempStream expectedOffset: 323209, readIncrement: 1024
tempStream expectedOffset: 323556, readIncrement: 1024
tempStream expectedOffset: 324580, readIncrement: 1024
tempStream expectedOffset: 324927, readIncrement: 1024
tempStream expectedOffset: 325951, readIncrement: 1024
tempStream expectedOffset: 326298, readIncrement: 1024
tempStream expectedOffset: 327322, readIncrement: 1024
tempStream expectedOffset: 327669, readIncrement: 1024
tempStream expectedOffset: 328693, readIncrement: 1024
tempStream expectedOffset: 329040, readIncrement: 1024
tempStream expectedOffset: 330064, readIncrement: 1024
tempStream expectedOffset: 330411, readIncrement: 1024
tempStream expectedOffset: 331435, readIncrement: 1024
tempStream expectedOffset: 331782, readIncrement: 1024
tempStream expectedOffset: 332806, readIncrement: 1024
tempStream expectedOffset: 333153, readIncrement: 1024
tempStream expectedOffset: 334177, readIncrement: 1024
tempStream expectedOffset: 334524, readIncrement: 1024
tempStream expectedOffset: 335548, readIncrement: 1024
tempStream expectedOffset: 335895, readIncrement: 1024
tempStream expectedOffset: 336919, readIncrement: 1024
tempStream expectedOffset: 337266, readIncrement: 1024
tempStream expectedOffset: 338290, readIncrement: 1024
tempStream expectedOffset: 338637, readIncrement: 1024
tempStream expectedOffset: 339661, readIncrement: 1024
tempStream expectedOffset: 340008, readIncrement: 1024
tempStream expectedOffset: 341032, readIncrement: 1024
tempStream expectedOffset: 341379, readIncrement: 1024
tempStream expectedOffset: 342403, readIncrement: 1024
tempStream expectedOffset: 342750, readIncrement: 1024
tempStream expectedOffset: 343774, readIncrement: 1024
tempStream expectedOffset: 344121, readIncrement: 1024
tempStream expectedOffset: 345145, readIncrement: 1024
tempStream expectedOffset: 345492, readIncrement: 1024
tempStream expectedOffset: 346516, readIncrement: 1024
tempStream expectedOffset: 346863, readIncrement: 1024
tempStream expectedOffset: 347887, readIncrement: 1024
tempStream expectedOffset: 348234, readIncrement: 1024
tempStream expectedOffset: 349258, readIncrement: 1024
tempStream expectedOffset: 349605, readIncrement: 1024
tempStream expectedOffset: 350629, readIncrement: 1024
tempStream expectedOffset: 350976, readIncrement: 1024
tempStream expectedOffset: 352000, readIncrement: 1024
tempStream expectedOffset: 352347, readIncrement: 1024
tempStream expectedOffset: 353371, readIncrement: 1024
tempStream expectedOffset: 353718, readIncrement: 1024
tempStream expectedOffset: 354742, readIncrement: 1024
tempStream expectedOffset: 355089, readIncrement: 1024
tempStream expectedOffset: 356113, readIncrement: 1024
tempStream expectedOffset: 356460, readIncrement: 1024
tempStream expectedOffset: 357484, readIncrement: 1024
tempStream expectedOffset: 357831, readIncrement: 1024
tempStream expectedOffset: 358855, readIncrement: 1024
tempStream expectedOffset: 359202, readIncrement: 1024
tempStream expectedOffset: 360226, readIncrement: 1024
tempStream expectedOffset: 360573, readIncrement: 1024
tempStream expectedOffset: 361597, readIncrement: 1024
tempStream expectedOffset: 361944, readIncrement: 1024
tempStream expectedOffset: 362968, readIncrement: 1024
